count_par,count_seq,upper_par,upper_seq,lower_par,lower_seq
480847,640923,122605,903422,120638,903481
476955,588772,120525,992423,120695,902835
479069,588153,120325,901833,154178,1123191
596896,612695,121437,952247,120432,981443
599926,602772,121218,901713,120693,929190
478410,587453,120778,902281,120496,903013
504267,586972,120741,920517,120787,901923
476374,602323,120877,901649,120832,1022656
477104,585953,120614,923246,120741,957915
497170,584652,120955,920758,120606,1006347
478179,585874,121770,902068,120504,916235
478095,586067,120270,901827,120639,914297
478015,585463,120610,901139,120827,901724
486714,585279,120624,901398,120589,902451
478601,595865,120764,902049,125657,884839
435546,532990,110467,841912,109637,820388
436612,532123,139574,823940,109754,840393
436476,531542,109605,819595,109712,820320
436188,546276,109829,819748,109672,820551
434848,533900,109159,828248,109462,983202
561177,584114,115426,1569295,109868,878889
436730,534389,110017,819697,109421,969525
434771,534018,109682,819913,109663,820405
445640,534398,109746,819831,109794,662101
318692,391147,80420,607860,80430,601614
318789,392318,80458,601188,80423,601580
318851,392155,80479,607611,80406,602122
318948,390128,80373,600718,80582,546022
253376,312985,63598,474581,63390,474943
251675,308210,63464,474589,63592,474681
251813,309742,63397,479654,63578,474800
251991,308593,63367,474363,63482,474957
251647,307831,63153,474580,63489,495179
208227,253925,52250,391789,52474,392356
208232,255414,52366,391739,52436,392016
208198,255076,52461,396378,52667,393031
208387,256044,52553,392221,52410,392104
208141,255612,52452,391703,52438,391961
208225,255274,52592,395979,52448,392637
208216,244800,46283,346634,46412,347085
184582,225512,46351,346580,46501,347193
184572,226208,46494,350122,46474,347319
184622,225894,46361,386135,46456,359922
183382,224981,46378,346862,46456,346950
183313,224872,46352,351781,46444,346910
183346,225812,46410,346654,46387,351927
183440,225272,46364,346761,46402,346856
183235,225416,46322,346555,49802,347272
183605,226118,46379,346854,46404,347068
183243,225484,46316,346665,46378,347141
183371,225343,46426,346977,46417,355478
183395,225353,46259,346970,46388,440947
189435,279508,46544,379760,52989,502920
196033,229800,46640,615688,46391,347150
184682,226199,46449,346693,46376,347181
184431,226143,46408,346638,46251,347082
184605,225750,46471,351962,46298,346926
184667,225115,46394,346497,46363,347128
184578,225923,46327,346808,46375,347116
184585,226268,46361,346494,46463,350223
184708,225408,46333,346926,46494,347566
184591,226045,46464,346658,46425,347022
184521,225670,46364,346779,46387,350506
184702,225079,46224,346657,46498,347227
184611,225159,46365,346671,46289,347217
184578,225192,46409,346852,46388,347088
184665,226226,46313,346675,46379,347153
184529,225341,46534,346838,46463,347031
184513,225616,46405,346911,46371,347005
187705,225208,46439,346451,46338,347277
184583,225342,46414,346512,46266,347146
184556,225810,46173,346646,46413,347001
184576,229112,46429,346751,46412,347153
184671,225087,46419,347026,46423,347363
184594,225297,46603,347399,46351,395043
184633,225906,50732,346904,46381,347012
184687,225378,46363,346597,46379,346998
184598,225665,46261,346691,46466,349097
184487,225763,46252,371787,46572,347247
184671,225676,46383,346641,46461,347084
184624,225515,46363,346866,46388,346953
184590,225518,46412,351759,46410,346860
184694,225889,46409,346887,46436,347090
184622,225273,46250,346470,46550,346951
184531,225142,46302,346754,46347,350356
184648,224761,46491,346762,46325,347130
184549,225365,46440,346610,46369,347591
184546,225416,46399,347212,46381,350444
184630,225374,46396,346614,46351,347295
184631,225746,46443,346603,46430,347104
184631,225585,46378,346581,46435,346859
187652,224787,46462,346761,46427,347118
184641,225606,46481,346569,46278,347022
184646,225581,46398,346688,46393,346934
184529,228445,46453,346809,46351,347056
184728,225498,46460,422525,52761,373764
195475,229957,46586,490195,46518,347282
191252,226451,46417,346837,46289,347108
183430,225835,46280,346757,46446,347122
183255,225426,46325,346793,46272,347278
